name,type,status,latitude,longitude,address,state,region,country,zip,timeZone,Verified_Lat,Verified_Long,Match_Status,API_Status
UAZ1,AFO,Active,33.44325,-111.9789,"500 South 48th Street, Phoenix, AZ",AZ,SW,United States,21224,America/Phoenix (UTC:-07:00),33.4430133,-111.978891,Match,OK
UCA1,AFO,Active,37.7606,-122.38976,"888 Tennessee Street, San Francisco, CA",CA,SW,United States,55414,America/Los_Angeles (UTC:-07:00),37.7606028,-122.3897609,Match,OK
UCA3,AFO,Idle,34.03276,-118.44981,"11800 W. Olympic Boulevard, Los Angeles, CA",CA,SW,United States,55442,America/Los_Angeles (UTC:-07:00),34.0327583,-118.4498073,Match,OK
UCA4,AFO,Active,33.68988,-117.84567,"2006 McGaw Avenue, Irvine, CA",CA,SW,United States,27609,America/Los_Angeles (UTC:-07:00),33.6902521,-117.8451634,Match,OK
UCA5,AFO,Active,34.11715,-118.25064,"3334 N San Fernando Road, Los Angeles, CA",CA,SW,United States,28269,America/Los_Angeles (UTC:-07:00),34.1176388,-118.2499664,Match,OK
UCA6,AFO,Active,32.74969,-117.201,"2727 Kurtz Street, San Diego, CA",CA,SW,United States,7030,America/Los_Angeles (UTC:-07:00),32.7503,-117.2007113,Match,OK
UCO1,UFF,Active,39.79406,-104.98108,"480 East 55th Avenue, Denver, CO",CO,NW,United States,89119,America/Denver (UTC:-06:00),39.7940649,-104.9810758,Match,OK
UFL4,AFO,Active,28.46049,-81.43897,"7469 Kingspointe Parkway, Orlando, FL",FL,FL,United States,89110,America/New_York (UTC:-04:00),28.4604933,-81.4389658,Match,OK
UFL5,AFO,Active,27.99227,-82.35326,"4769 Oak Fair  Boulevard, Tampa, FL",FL,FL,United States,11232,America/New_York (UTC:-04:00),27.992319,-82.3531973,Match,OK
UFL6,Fresh,Active,25.81029,-80.30736,"6715 NW 36th Street, Miami, FL",FL,FL,United States,10474,America/New_York (UTC:-04:00),25.8102899,-80.307363,Match,OK
UGA2,AFO,Active,33.81866,-84.45156,"2302 & 2290-2300 Marietta Boulevard, Atlanta, GA",GA,MS,United States,11231,America/New_York (UTC:-04:00),,,No Results,ZERO_RESULTS
UGA4,AFO,Active,33.97601,-84.11453,"2232 Northmont Parkway, Duluth, GA",GA,MS,United States,43228,America/New_York (UTC:-04:00),33.97669,-84.113866,Match,OK
UIL1,AFO,Active,41.90208,-87.6521,"1111 North Cherry Avenue, Chicago, IL",IL,GL,United States,45069,America/Chicago (UTC:-05:00),41.9024068,-87.6516645,Match,OK
UIL2,AFO,Active,41.98714,-87.98755,"1250 North Mittle Boulevard, Wood Dale, IL",IL,GL,United States,19104,America/Chicago (UTC:-05:00),41.9873585,-87.9868952,Match,OK
ULA6,AFO,Active,33.99289,-118.1821,"Pacific District Center, Building A, 5119 District Boulevard, Vernon, CA",CA,SW,United States,92123,America/Los_Angeles (UTC:-07:00),33.9928896,-118.1820957,Match,OK
UMD1,Lockers +,Active,39.27043,-76.54814,"5501 Holabird Avenue, Baltimore City, MD",MD,NE,United States,95054,America/New_York (UTC:-04:00),39.2707432,-76.5482024,Match,OK
UMN1,AFO,Active,44.98353,-93.21727,"763 Kasota Avenue, Minneapolis, MN",MN,GL,United States,94557,America/Chicago (UTC:-05:00),44.983546,-93.217022,Match,OK
UMN2,AFO,Idle,45.06463,-93.41069,"6105 Trenton Lane North, Plymouth, MN",MN,GL,United States,94005,America/Chicago (UTC:-05:00),45.0649044,-93.4092329,Mismatch,OK
UNC2,AFO,Active,35.82434,-78.61302,"1590 Wolfpack Lane, Raleigh, NC",NC,MA,United States,37211,America/New_York (UTC:-04:00),35.8242472,-78.612421,Match,OK
UNC3,AFO,Active,35.28248,-80.83559,"4525 Statesville Avenue, Charlotte, NC",NC,MA,United States,77092,America/New_York (UTC:-04:00),35.282476,-80.8355879,Match,OK
UNJ1,Warehouse,Active,40.74991,-74.03733,"940 Monroe Street, Hoboken, NJ",NJ,NE,United States,75235,America/New_York (UTC:-04:00),40.750188,-74.0369452,Match,OK
UNV2,AFO,Active,36.08545,-115.126,"1945 East Russel Road, Las Vegas, NV",NV,SW,United States,76106,America/Los_Angeles (UTC:-07:00),36.0860956,-115.1256777,Match,OK
UNV3,Warehouse,Active,36.21358,-115.07346,"2951 North Marion Drive, Las Vegas, NV",NV,SW,United States,78218,America/Los_Angeles (UTC:-07:00),36.213901,-115.0716193,Mismatch,OK
UNY1,AFO,Active,40.6588,-74.00345,"850 3rd Avenue, Brooklyn, NY",NY,NE,United States,78728,America/New_York (UTC:-04:00),40.658823,-74.0041006,Match,OK
UNY2,AFO,Active,40.81145,-73.89669,"1080 Leggett Avenue, The Bronx, NY",NY,NE,United States,22151,America/New_York (UTC:-04:00),40.8104107,-73.8961226,Mismatch,OK
UNY5,AFO,Active,40.67305,-74.00688,"55 Bay Street, Brooklyn, NY",NY,NE,United States,23230,America/New_York (UTC:-04:00),40.6731184,-74.007027,Match,OK
UOH4,AFO,Active,39.98662,-83.1215,"4401 Equity Drive, Columbus, OH",OH,MW,United States,23454,America/New_York (UTC:-04:00),39.9866206,-83.1215046,Match,OK
UOH5,AFO,Active,39.33995,-84.45239,"8660 Jacquemin Drive, West Chester, OH",OH,MW,United States,98034,America/New_York (UTC:-04:00),39.3403865,-84.4509165,Mismatch,OK
UPA1,AFO,Active,39.95562,-75.20551,"4100 Chestnut Street, Philadelphia, PA",PA,NE,United States,98133,America/New_York (UTC:-04:00),39.9557227,-75.2055259,Match,OK
USD1,AFO,Active,32.8288,-117.13184,"9269 Lightwave Avenue, San Diego, CA",CA,SW,United States,98134,America/Los_Angeles (UTC:-07:00),32.8287989,-117.1318414,Match,OK
USF1,AFO,Active,37.37879,-121.94694,"750 Laurelwood Road, Santa Clara, CA",CA,SW,United States,98188,America/Los_Angeles (UTC:-07:00),37.37879,-121.946936,Match,OK
USF2,AFO,Active,37.70491,-122.16313,"1788 Fairway Drive, San  Leandro, CA",CA,SW,United States,98032,America/Los_Angeles (UTC:-07:00),37.7049054,-122.1631346,Match,OK
USF4,UFF,Active,37.69079,-122.41715,"455 Valley Drive, Brisbane, CA",CA,SW,United States,53215,America/Los_Angeles (UTC:-07:00),37.6910599,-122.4165624,Match,OK
UTN1,AFO,Active,36.09171,-86.68974,"410 Harding Industrial Drive, Nashville, TN",TN,MS,United States,89115,America/Chicago (UTC:-05:00),36.0917134,-86.6897394,Match,OK
UTX3,AFO,Active,29.83409,-95.50008,"4241 Way Out West Blvd., Houston, TX",TX,TX,United States,89115,America/Chicago (UTC:-05:00),29.8340976,-95.5000814,Match,OK
UTX4,AFO,Active,32.82846,-96.84591,"6627 Maple Avenue, Dallas, TX",TX,TX,United States,89115,America/Chicago (UTC:-05:00),32.8288585,-96.845511,Match,OK
UTX7,AFO,Active,32.8284,-97.35461,"4601 Gold Spike Drive, Fort Worth, TX",TX,TX,United States,36301,America/Chicago (UTC:-05:00),32.8295864,-97.3537019,Mismatch,OK
UTX8,AFO,Active,29.49709,-98.39624,"4825 Eisenhauer Road, Windcrest, TX",TX,TX,United States,18447,America/Chicago (UTC:-05:00),29.497089,-98.3962369,Match,OK
UTX9,AFO,Active,30.44504,-97.70832,"4616 West Howard Lane, Austin, TX",TX,TX,United States,95482,America/Chicago (UTC:-05:00),30.4456529,-97.707319,Mismatch,OK
UVA1,UFF,Active,38.79862,-77.16955,"5617 Industrial Drive, Springfield, VA",VA,MA,United States,22980,America/New_York (UTC:-04:00),38.798462,-77.169673,Match,OK
